Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.728,-73.985,40.749,-73.992,709
40.743,-73.993,40.751,-74.005,709
40.755,-73.984,40.762,-73.979,709
40.779,-73.955,40.78,-73.947,709
40.762,-73.966,40.765,-73.958,708
40.763,-73.982,40.752,-73.99,708
40.74,-73.995,40.749,-73.991,707
40.758,-73.978,40.751,-73.991,707
40.783,-73.951,40.805,-73.939,707
40.751,-73.994,40.759,-73.987,706
40.769,-73.863,40.644,-73.783,706
40.756,-73.99,40.756,-73.975,705
40.768,-73.964,40.766,-73.954,705
40.75,-73.991,40.755,-73.975,704
40.752,-73.976,40.742,-73.975,704
40.76,-73.985,40.751,-73.991,704
40.764,-73.973,40.751,-73.991,704
40.764,-73.973,40.755,-73.98,704
40.744,-73.988,40.749,-73.992,703
40.751,-73.994,40.761,-73.986,703
40.755,-73.988,40.75,-73.991,703
40.762,-73.979,40.754,-73.978,703
40.751,-73.994,40.761,-73.999,702
40.751,-73.994,40.763,-73.985,702
40.756,-73.99,40.755,-73.977,702
40.774,-73.871,40.759,-73.985,702
40.736,-73.989,40.751,-73.978,701
40.737,-73.989,40.75,-73.979,700
40.751,-73.994,40.757,-73.975,700
40.762,-73.966,40.778,-73.955,700
